RunID,seed,log_inv_sq_dist_m,seed_x_m,seed_y_m
Run_3_1,22,-16.907776598826608,6.866382642183453e-05,6.266102395020426e-05
Run_3_1,23,-16.443482005238135,4.349814737215639e-05,1.9518929324112837e-05
Run_3_1,24,-16.37808335412698,8.797684574965388e-05,4.567933471407741e-05
Run_4_1,1,-16.991395539006195,6.021639895625413e-05,5.189184010960162e-05
Run_4_1,2,-16.175748691962365,3.959602816030383e-05,9.831477135885508e-05
Run_4_1,3,-16.064671807181227,2.4021920654922726e-05,8.422547392547131e-06
Run_4_1,4,-16.160984152286865,2.6508873351849615e-05,9.213367269840092e-05
Run_4_1,5,-16.448518722237377,4.36524975579232e-05,1.6829097410663965e-05
Run_4_1,6,-16.93565930642519,4.562417229171842e-05,5.664959233254194e-05
Run_4_1,7,-16.249946772763646,8.605560518335551e-05,8.657416480127723e-05
Run_4_1,8,-16.274751654482102,1.7208743561059236e-05,7.456600072328001e-05
Run_4_1,9,-15.893563894035253,9.509670166298748e-05,9.968815550673752e-05
Run_4_1,10,-16.408457613171684,9.14313695859164e-05,6.807573351543397e-05
Run_4_1,11,-16.233674729261104,2.2569322772324087e-05,1.9463543058373037e-05
Run_4_1,12,-16.24244458629205,4.529875300358981e-05,7.031245599500835e-06
Run_4_1,13,-16.476618344728283,8.265085478778929e-05,2.7888607722707093e-05
Run_4_1,14,-16.331488611114082,4.366167199332268e-05,9.25262103555724e-05
Run_4_1,15,-16.971397819010825,5.8058942621573806e-05,4.476625125389546e-05
Run_4_1,16,-16.825287617281266,7.476897770538926e-05,5.4402445140294734e-05
Run_4_1,17,-15.88545066355723,9.554826049134136e-05,4.194166162051261e-06
Run_4_1,18,-15.79762810397543,1.6923620132729412e-06,8.99963296018541e-05
Run_4_1,19,-16.729961419515885,7.161153724882751e-05,3.3583640935830776e-05
Run_4_1,20,-16.36156223588775,6.018499284982681e-05,1.118769666645676e-05
Run_4_1,21,-16.278200570039893,6.591777494177222e-05,9.550939488690347e-05
Run_4_1,22,-16.21242385785207,7.857610664796085e-05,1.0249051777645944e-05
Run_5_1,1,-16.119306424641618,3.369808029383421e-05,8.250634579453618e-05
Run_5_1,2,-16.193531280029212,8.059319588355721e-05,5.7786468765698376e-05
Run_5_1,3,-16.29237523308397,6.599267858546228e-05,7.058240443002432e-05
Run_5_1,4,-16.6025446756072,5.138542759232223e-05,6.328834153246135e-05
Run_5_1,5,-16.068221698871287,6.510712602175773e-05,5.588817456737161e-06
Run_5_1,6,-16.05057109013494,2.27935581933707e-06,4.639234878122807e-05
Run_5_1,7,-15.724041788825707,3.712342982180417e-05,9.968303311616185e-05
Run_5_1,8,-15.841114721118466,9.373573574703189e-05,2.4284170544706287e-05
Run_5_1,9,-16.143287388356228,8.030611285939814e-05,2.4216894130222505e-05
Run_5_1,10,-16.296196367492474,7.059765404555947e-05,6.615661177784204e-05
Run_5_1,11,-16.787863937885696,5.477417786605657e-05,4.259329347405583e-05
Run_5_1,12,-16.216165818990454,2.5360220763832333e-05,1.2797650834545494e-05
Run_5_1,13,-16.219175286810984,2.222720207646489e-05,7.19333377899602e-05
Run_5_1,14,-15.962564438459061,1.938511719927192e-05,4.672232712619007e-06
Run_5_1,15,-16.06279836371533,7.912381491623819e-05,1.676580416969955e-05
Run_5_1,16,-16.399427530247905,1.6492242575623095e-05,4.818492319900543e-05
Run_5_1,17,-16.512185110285184,4.9019902804866434e-05,1.915215793997049e-05
Run_5_1,18,-15.818708218286986,5.299521284177899e-06,9.522287943400444e-06
Run_5_1,19,-15.586303385463795,9.37510535120964e-05,3.515365091152489e-06
Run_5_1,20,-16.64353398930104,4.3881206936202944e-05,2.5199597375467425e-05
Run_5_1,21,-15.778990382748834,7.152737188152969e-06,8.210866637527943e-05
Run_5_1,22,-16.40027867514716,2.9001241363585e-05,6.790425351355225e-05
Run_5_1,23,-16.060262988418632,2.620771806687117e-06,4.159424565732479e-05
Run_5_1,24,-16.0883855704591,9.452013461850584e-06,2.2385548520833253e-05
Run_5_1,25,-16.043770289727327,3.532155486755073e-06,5.535838825162501e-05
Run_5_1,26,-16.409448539945796,4.713162193074823e-05,1.4575704117305575e-05
Run_5_1,27,-16.736092900120482,5.700126616284252e-05,5.0148468161933125e-05
Run_5_1,28,-16.415261658453556,6.408358118496836e-05,2.1479299641214312e-05
Run_5_1,29,-15.871651607830056,9.108198338653892e-05,6.580689861439169e-05
Run_5_1,30,-16.36304054148191,3.3737973449751734e-05,7.219781228341162e-05
Run_5_1,31,-16.172886746181923,7.889698569197208e-05,6.307860878296197e-05
Run_6_1,1,-16.139170716973673,8.469380664173513e-05,5.625301506370306e-05
Run_6_1,2,-16.268109070478605,7.678467012010515e-05,4.749235974159092e-05
Run_6_1,3,-15.78052691943782,1.5873650321736934e-05,8.392477184534074e-05
Run_6_1,4,-15.99197701361292,4.37470167176798e-05,2.4382434645667674e-05
Run_6_1,5,-16.227533125134666,7.226965713780374e-05,3.915424970909953e-05
Run_6_1,6,-16.605204073568274,6.256663403473794e-05,5.709588639438153e-05
Run_6_1,7,-15.824075876723972,7.412577401846648e-05,2.186919448431581e-05
Run_6_1,8,-15.761233176115702,9.602787331677974e-05,7.64999337028712e-05
Run_6_1,9,-16.105029705340506,4.80889144120738e-05,9.191570240072908e-05
Run_6_1,10,-16.00964021237226,8.389378553256393e-05,7.964542869012803e-05
Run_6_1,11,-15.974764376492386,7.303422580007463e-05,9.189859933685512e-05
Run_6_1,12,-15.44674954981967,8.126403554342688e-06,2.393727395683527e-05
Run_6_1,13,-16.501390473064728,5.262237037532032e-05,7.565176214557141e-05
Run_6_1,14,-15.790620850017904,9.795332669746132e-05,6.294986293651165e-05
Run_6_1,15,-15.886433129380139,8.126748851500452e-05,8.985164291225374e-05
Run_6_1,16,-16.443880161734654,3.796370658092201e-05,7.00108387041837e-05
Run_6_1,17,-16.6058766489274,5.7595079648308456e-05,5.144593555014581e-05
Run_6_1,18,-16.205408685388793,2.5887508434243503e-05,5.25638755876571e-05
Run_6_1,19,-16.52791387057142,6.787291211076081e-05,6.211215602234006e-05
Run_6_1,20,-16.189875601174414,7.659976116847247e-05,4.1624844097532336e-05
Run_6_1,21,-16.659843735603577,5.192756499163807e-05,6.194691187702119e-05
Run_6_1,22,-15.64319389998186,1.6985098854638638e-05,9.398773568682374e-05
Run_6_1,23,-15.801365047862395,2.167100228834897e-05,9.007212100550533e-05
Run_6_1,24,-16.418269658212154,6.240805012639612e-05,7.768465641420334e-05
Run_6_1,25,-15.785822208111334,4.77993473643437e-05,1.5630395570769907e-05
Run_6_1,26,-16.16818402029087,8.366424720734359e-05,6.257188855670393e-05
Run_6_1,27,-16.232914496637214,4.698777126614005e-05,8.66491595748812e-05
Run_6_1,28,-15.863637732253302,1.630528310779482e-05,7.827528971247376e-05
Run_6_1,29,-15.396763831015546,3.21795906405896e-05,3.76049685291946e-06
Run_6_1,30,-15.58650779841604,9.36777056194842e-05,2.61296303011477e-05
Run_6_1,31,-16.058683826739752,5.663776621222496e-05,9.401675672270358e-05
Run_6_1,32,-15.924288031195855,4.793568127788604e-05,9.87846797797829e-05
Run_6_1,33,-15.736933117395495,7.970619155094028e-06,5.131102690938861e-05
Run_6_1,34,-16.19972489344159,2.4929712316952647e-05,6.32496559759602e-05
Run_6_1,35,-15.951743659724249,7.279538079164923e-05,2.663958286866546e-05
Run_6_1,36,-16.04471426468387,5.5260952655226e-05,2.504715456161648e-05
Run_6_1,37,-15.507113429213641,7.340487220790237e-05,7.962307240813972e-06
Run_6_1,38,-15.953630777877919,9.073491422459483e-05,5.045263648498804e-05
Run_6_1,39,-15.97398303680723,1.7920285905711352e-05,7.120617674663664e-05
Run_6_1,40,-15.651578648665824,7.31858762446791e-06,7.803369946777822e-05
Run_6_1,41,-16.018842813562546,3.4075160790234807e-05,8.982438240200282e-05
Run_7_1,1,-16.54405935947644,5.6171948881819846e-05,4.246593550778926e-05
Run_7_1,2,-16.62302110582605,5.757365229073912e-05,4.685525372624397e-05
Run_7_1,3,-15.858364877761472,9.64558250969276e-05,3.9355545584112405e-05
Run_7_1,4,-16.380769903081255,7.833443235140294e-05,4.8471855768002574e-05
Run_7_1,5,-15.642489729117186,9.349947348237038e-05,2.1337940567173066e-05
Run_7_1,6,-16.07869231907653,1.9374145707115533e-05,5.9027033112943176e-05
Run_7_1,7,-15.928651725698366,4.441008712165058e-05,1.922169025056064e-05
Run_7_1,8,-16.512977665815793,3.70297160698101e-05,6.0253803757950666e-05
Run_7_1,9,-15.764484827965981,8.758292547427118e-05,9.771806949283927e-05
Run_7_1,10,-16.29733933348746,8.30641778651625e-05,5.090126607101411e-05
Run_7_1,11,-16.216170654447627,5.515000382438302e-05,9.170025610364974e-05
Run_7_1,12,-15.35623496441348,3.750354750081897e-06,9.994464786723256e-05
Run_7_1,13,-15.621697574238008,1.9896893994882704e-06,6.697926779743284e-05
Run_7_1,14,-16.431412879692786,3.343203926924616e-05,5.819242796860636e-05
Run_7_1,15,-16.193553175835028,3.933061487041414e-05,8.785645661409944e-05
Run_7_1,16,-15.888736941657973,1.234391313046217e-05,5.545375775545836e-05
Run_7_1,17,-16.354521575989203,8.227234710939228e-05,6.142510531935841e-05
Run_7_1,18,-16.041861693142547,4.125463585369289e-05,2.4923359253443775e-05
Run_7_1,19,-16.585830978353265,6.186585461255163e-05,4.571088983211666e-05
Run_7_1,20,-16.223473901228786,5.021203951910138e-05,9.085374062415211e-05
Run_7_1,21,-16.476316922676233,7.406301761511714e-05,4.930110934656114e-05
Run_7_1,22,-15.971568392436085,6.564634842798114e-05,9.997927916701883e-05
Run_7_1,23,-15.746490340023163,1.079933843575418e-05,4.004649857524783e-05
Run_7_1,24,-16.367150621264667,7.007725753355771e-05,8.162624421529472e-05
Run_7_1,25,-16.643987026654017,6.0096451221033934e-05,7.151235665660352e-05
