RunID,Pattern, Intensity, Radius, Points Per Cluster,Time (s),Area (pixels),Scale (pixels per meter),Facet Area (pixels),Facet Perimeter (pixels),Facet Aspect Ratio,Facet Sides,Is Edge Facet,Scale (pixels per meter) (facet),seed,winner_index,Median Colony Area (pixels),Median-Normed Colony Area,Colony ID,Diameter (meters)
Run_100_1,regular,34,0.05,0,20500,393,3000000.0,1708.5,239.54772233963013,3.8620689655172415,4.0,True,3000000.0,28,0.2300263388937664,475.5,-0.1735015772870662,28,1.66e-06
Run_100_1,regular,34,0.05,0,20500,468,3000000.0,2324.0,196.2138671875,1.081818205865735,4.0,True,3000000.0,29,0.2013769363166953,475.5,-0.0157728706624605,29,1.66e-06
Run_100_1,regular,34,0.05,0,20500,477,3000000.0,2588.5,201.08202934265137,1.4265579295790791,6.0,False,3000000.0,30,0.1842766080741742,475.5,0.0031545741324921,30,1.66e-06
Run_100_1,regular,34,0.05,0,20500,492,3000000.0,3836.0,272.41493558883667,2.106060682832466,7.0,False,3000000.0,31,0.1282586027111574,475.5,0.0347003154574132,31,1.66e-06
Run_100_1,regular,34,0.05,0,20500,453,3000000.0,1515.0,157.9820556640625,1.2841879880743992,4.0,True,3000000.0,32,0.299009900990099,475.5,-0.0473186119873817,32,1.66e-06
Run_100_1,regular,34,0.05,0,20500,462,3000000.0,2434.5,199.09701538085935,1.4518777801374594,5.0,False,3000000.0,33,0.1897720271102896,475.5,-0.028391167192429,33,1.66e-06
Run_100_1,regular,34,0.05,0,20500,537,3000000.0,1769.0,201.9090713262558,2.004601549402631,4.0,True,3000000.0,34,0.3035613340870548,475.5,0.1293375394321766,34,1.66e-06
Run_101_1,regular,27,0.05,0,22400,597,3000000.0,3820.5,252.70652532577515,1.7756863481215366,6.0,False,3000000.0,1,0.1562622693364742,573.0,0.0418848167539267,1,1.66e-06
Run_101_1,regular,27,0.05,0,22400,576,3000000.0,3871.5,246.15612030029297,1.3820293593761814,6.0,False,3000000.0,2,0.1487795428128632,573.0,0.0052356020942408,2,1.66e-06
Run_101_1,regular,27,0.05,0,22400,585,3000000.0,1760.0,191.793137550354,1.2063824565150885,4.0,False,3000000.0,3,0.3323863636363636,573.0,0.0209424083769633,3,1.66e-06
Run_101_1,regular,27,0.05,0,22400,564,3000000.0,3454.5,241.7909564971924,2.084725863868264,7.0,False,3000000.0,4,0.1632653061224489,573.0,-0.0157068062827225,4,1.66e-06
Run_101_1,regular,27,0.05,0,22400,555,3000000.0,4689.0,275.7345600128174,1.4527633986746344,6.0,True,3000000.0,5,0.1183621241202815,573.0,-0.031413612565445,5,1.66e-06
Run_101_1,regular,27,0.05,0,22400,522,3000000.0,2330.0,206.2654514312744,1.926337665860179,7.0,False,3000000.0,6,0.2240343347639485,573.0,-0.0890052356020942,6,1.66e-06
Run_101_1,regular,27,0.05,0,22400,585,3000000.0,3764.0,240.23603010177607,1.0140845070422535,6.0,True,3000000.0,7,0.1554197662061636,573.0,0.0209424083769633,7,1.66e-06
Run_101_1,regular,27,0.05,0,22400,597,3000000.0,2500.0,208.4197449684143,1.7558343812748145,6.0,True,3000000.0,8,0.2388,573.0,0.0418848167539267,8,1.66e-06
Run_101_1,regular,27,0.05,0,22400,582,3000000.0,5568.0,314.97825622558594,1.2093023255813953,4.0,True,3000000.0,9,0.1045258620689655,573.0,0.0157068062827225,9,1.66e-06
Run_101_1,regular,27,0.05,0,22400,597,3000000.0,5174.5,285.9241828918457,1.364864864864865,6.0,True,3000000.0,10,0.1153734660353657,573.0,0.0418848167539267,10,1.66e-06
Run_101_1,regular,27,0.05,0,22400,522,3000000.0,3592.5,244.1132411956787,1.6649202014487392,7.0,False,3000000.0,11,0.1453027139874739,573.0,-0.0890052356020942,11,1.66e-06
Run_101_1,regular,27,0.05,0,22400,711,3000000.0,2321.5,205.2256736755371,1.0128959801619886,4.0,False,3000000.0,12,0.306267499461555,573.0,0.2408376963350785,12,1.66e-06
Run_101_1,regular,27,0.05,0,22400,546,3000000.0,4611.0,290.0644474029541,1.5294117647058822,5.0,True,3000000.0,13,0.1184124918672739,573.0,-0.0471204188481675,13,1.66e-06
Run_101_1,regular,27,0.05,0,22400,561,3000000.0,5402.5,306.2058982849121,1.5492957746478873,5.0,True,3000000.0,14,0.1038408144377602,573.0,-0.0209424083769633,14,1.66e-06
Run_101_1,regular,27,0.05,0,22400,561,3000000.0,4393.5,263.2236328125,1.4865130745773834,5.0,True,3000000.0,15,0.1276886309320587,573.0,-0.0209424083769633,15,1.66e-06
Run_101_1,regular,27,0.05,0,22400,597,3000000.0,2646.5,218.391637802124,1.4489795918367347,4.0,True,3000000.0,16,0.2255809559795956,573.0,0.0418848167539267,16,1.66e-06
Run_101_1,regular,27,0.05,0,22400,582,3000000.0,3379.5,240.48231315612796,1.5078465272736177,5.0,True,3000000.0,17,0.1722148246782068,573.0,0.0157068062827225,17,1.66e-06
Run_101_1,regular,27,0.05,0,22400,600,3000000.0,3037.0,217.79840278625488,1.0768176459009953,5.0,True,3000000.0,18,0.1975633849193283,573.0,0.0471204188481675,18,1.66e-06
Run_101_1,regular,27,0.05,0,22400,615,3000000.0,3384.0,249.7649393081665,2.1333333333333333,5.0,True,3000000.0,19,0.1817375886524822,573.0,0.0732984293193717,19,1.66e-06
Run_101_1,regular,27,0.05,0,22400,564,3000000.0,3295.0,216.5337085723877,1.2245970831033963,6.0,False,3000000.0,20,0.1711684370257966,573.0,-0.0157068062827225,20,1.66e-06
Run_101_1,regular,27,0.05,0,22400,570,3000000.0,3571.0,238.2104778289795,1.0020761312400006,5.0,False,3000000.0,21,0.1596191542985158,573.0,-0.0052356020942408,21,1.66e-06
Run_101_1,regular,27,0.05,0,22400,537,3000000.0,2351.0,196.7202537059784,1.19595643565673,6.0,True,3000000.0,22,0.2284134410888983,573.0,-0.06282722513089,22,1.66e-06
Run_101_1,regular,27,0.05,0,22400,573,3000000.0,2681.0,214.58876848220825,1.3148148148148149,5.0,True,3000000.0,23,0.2137262215591197,573.0,0.0,23,1.66e-06
Run_101_1,regular,27,0.05,0,22400,573,3000000.0,2306.0,204.2697150707245,1.0033765845416551,5.0,False,3000000.0,24,0.2484822202948829,573.0,0.0,24,1.66e-06
Run_101_1,regular,27,0.05,0,22400,549,3000000.0,1173.0,159.37615966796875,1.108695652173913,3.0,True,3000000.0,25,0.4680306905370844,573.0,-0.0418848167539267,25,1.66e-06
