RunID,seed,dist_m,centroid_x_m,centroid_y_m,seed_x_m,seed_y_m
Run_3_1,12,1.7058240030268244e-06,1.32e-05,9.26e-05,1.3095102249644697e-05,9.430259566288442e-05
Run_3_1,13,4.514718284550312e-06,4.6e-05,2.8e-05,4.522550760302693e-05,2.3552209232002496e-05
Run_3_1,14,1.3887255400318766e-06,5.2e-06,9.24e-05,6.327141681686044e-06,9.158876005094498e-05
Run_3_1,15,6.61631979655384e-06,4.84e-05,5.66e-05,5.171912910882385e-05,5.08764460682869e-05
Run_3_1,16,3.6495297722951215e-06,2.14e-05,9.08e-05,2.0642640511505308e-05,9.437008041422817e-05
Run_3_1,17,8.060648935093145e-06,8.84e-05,8.94e-05,9.476470765657723e-05,9.43461659597233e-05
Run_3_1,18,1.3595979536237112e-05,1.68e-05,5.36e-05,2.5030836951918905e-05,6.44214593572542e-05
Run_3_1,19,7.912541167033884e-06,4.38e-05,4.32e-05,5.0672695762477815e-05,4.712101526092738e-05
Run_3_1,20,8.10516015606027e-06,6.2e-06,7.52e-05,3.2021510880440475e-06,8.27303733676672e-05
Run_3_1,21,1.9934408456026335e-06,3.4e-05,9.18e-05,3.268489008769393e-05,9.329809623304756e-05
Run_3_1,22,2.417084237790108e-06,6.68e-05,6.42e-05,6.866382642183453e-05,6.266102395020426e-05
Run_3_1,23,7.241824278799425e-06,4.62e-05,1.28e-05,4.349814737215639e-05,1.9518929324112837e-05
Run_3_1,24,6.294696924280073e-06,8.4e-05,4.08e-05,8.797684574965388e-05,4.567933471407741e-05
Run_4_1,1,6.1359764850374765e-06,6.08e-05,5.8e-05,6.021639895625412e-05,5.189184010960162e-05
Run_4_1,2,2.3495211048662725e-06,3.78e-05,9.68e-05,3.959602816030383e-05,9.831477135885508e-05
Run_4_1,3,6.352497644964865e-06,1.8e-05,6.4e-06,2.4021920654922726e-05,8.422547392547131e-06
Run_4_1,4,2.4527105203148234e-06,2.5e-05,9.02e-05,2.6508873351849615e-05,9.213367269840092e-05
